year,month,day,latitude,longitude,target_type
1972,7,1,54.597269,-5.930109,Private Citizens & Property
1972,7,2,54.597269,-5.930109,Private Citizens & Property
1972,7,2,54.597269,-5.930109,Private Citizens & Property
1972,7,3,54.597269,-5.930109,Private Citizens & Property
1972,7,5,54.616602,-5.965891,Private Citizens & Property
1972,7,5,54.597269,-5.930109,Private Citizens & Property
1972,7,7,54.597269,-5.930109,Private Citizens & Property
1972,7,9,54.597269,-5.930109,Private Citizens & Property
1972,7,9,54.597269,-5.930109,Private Citizens & Property
1972,7,9,54.597269,-5.930109,Terrorists/Non-State Militia
1972,7,11,54.597269,-5.930109,Private Citizens & Property
1972,7,11,54.99451,-7.3199960000000015,Military
1972,7,12,54.42071,-6.443767,Private Citizens & Property
1972,7,12,54.42071,-6.443767,Private Citizens & Property
1972,7,12,54.597269,-5.930109,Private Citizens & Property
1972,7,12,54.597269,-5.930109,Private Citizens & Property
1972,7,13,54.597269,-5.930109,Military
1972,7,13,54.597269,-5.930109,Military
1972,7,13,54.597269,-5.930109,Military
1972,7,13,54.597269,-5.930109,Military
1972,7,14,54.597269,-5.930109,Military
1972,7,14,54.60236999999999,-5.9756,Military
1972,7,14,54.597269,-5.930109,Military
1972,7,14,54.597269,-5.930109,Military
1972,7,15,54.101529000000006,-6.526441999999999,Military
1972,7,15,54.597269,-5.930109,Military
1972,7,16,54.077313000000004,-6.6087869999999995,Military
1972,7,16,54.597269,-5.930109,Police
1972,7,18,54.597269,-5.930109,Military
1972,7,18,54.597269,-5.930109,Police
1972,7,19,54.597269,-5.930109,Business
1972,7,19,54.823432,-7.4683740000000025,Private Citizens & Property
1972,7,19,54.597269,-5.930109,Private Citizens & Property
1972,7,20,54.597269,-5.930109,Business
1972,7,21,54.597269,-5.930109,Private Citizens & Property
1972,7,21,54.597269,-5.930109,Private Citizens & Property
1972,7,21,54.597269,-5.930109,Terrorists/Non-State Militia
1972,7,21,54.597269,-5.930109,Private Citizens & Property
1972,7,22,54.597269,-5.930109,Private Citizens & Property
1972,7,22,54.597269,-5.930109,Private Citizens & Property
1972,7,23,54.597269,-5.930109,Military
1972,7,24,54.597269,-5.930109,Private Citizens & Property
1972,7,24,54.597269,-5.930109,Military
1972,7,25,54.597269,-5.930109,Terrorists/Non-State Militia
1972,7,26,54.597269,-5.930109,Military
1972,7,26,54.597269,-5.930109,Private Citizens & Property
1972,7,27,54.597269,-5.930109,Private Citizens & Property
1972,7,28,54.595455,-5.797763,Private Citizens & Property
1972,7,29,54.597269,-5.930109,Private Citizens & Property
1972,7,30,54.597269,-5.930109,Private Citizens & Property
1972,7,31,54.910864000000004,-7.15523,Private Citizens & Property
1972,8,3,54.823432,-7.4683740000000025,Military
1972,8,4,54.597269,-5.930109,Military
1972,8,4,54.42071,-6.443767,Private Citizens & Property
1972,8,7,54.597269,-5.930109,Private Citizens & Property
1972,8,7,54.253718000000006,-7.44106,Military
1972,8,7,54.184008,-7.3602089999999984,Military
1972,8,12,54.597269,-5.930109,Private Citizens & Property
1972,8,13,54.597269,-5.930109,Private Citizens & Property
1972,8,14,54.597269,-5.930109,Military
1972,8,14,54.597269,-5.930109,Military
1972,8,16,54.597269,-5.930109,Business
1972,8,17,54.597269,-5.930109,Military
1972,8,18,54.597269,-5.930109,Private Citizens & Property
1972,8,18,54.597269,-5.930109,Military
1972,8,18,54.597269,-5.930109,Military
1972,8,18,54.597269,-5.930109,Military
1972,8,19,54.597269,-5.930109,Private Citizens & Property
1972,8,20,54.597269,-5.930109,Private Citizens & Property
1972,8,22,54.597269,-5.930109,Private Citizens & Property
1972,8,23,54.597269,-5.930109,Military
1972,8,24,54.077313000000004,-6.6087869999999995,Military
1972,8,25,54.99451,-7.3199960000000015,Military
1972,8,25,54.99451,-7.3199960000000015,Military
1972,8,26,54.34653100000001,-7.6404039999999975,Military
1972,8,26,54.597269,-5.930109,Private Citizens & Property
1972,8,26,54.597269,-5.930109,Private Citizens & Property
1972,8,27,54.597269,-5.930109,Private Citizens & Property
1972,8,27,54.99451,-7.3199960000000015,Military
1972,8,28,54.597269,-5.930109,Military
1972,8,28,54.184008,-7.3602089999999984,Private Citizens & Property
1972,8,30,54.597269,-5.930109,Military
1972,8,31,54.597269,-5.930109,Private Citizens & Property
1972,8,31,54.42071,-6.443767,Private Citizens & Property
1972,9,5,54.42071,-6.443767,Military
1972,9,6,54.597269,-5.930109,Private Citizens & Property
1972,9,10,54.502852000000004,-6.769568,Military
1972,9,13,54.597269,-5.930109,Government (General)
1972,9,14,54.597269,-5.930109,Business
1972,9,14,54.99451,-7.3199960000000015,Military
1972,9,17,54.99451,-7.3199960000000015,Military
1972,9,18,54.201137,-6.361129,Private Citizens & Property
1972,9,19,51.500152,-0.126236,Government (Diplomatic)
1972,9,20,54.597269,-5.930109,Military
1972,9,20,54.597269,-5.930109,Military
1972,9,22,54.597269,-5.930109,Private Citizens & Property
1972,9,22,54.077313000000004,-6.6087869999999995,Military
1972,9,23,54.597269,-5.930109,Military
1972,9,26,54.597269,-5.930109,Private Citizens & Property
1972,9,26,54.597269,-5.930109,Private Citizens & Property
1972,9,27,54.99451,-7.3199960000000015,Military
1972,9,27,54.625868999999994,-5.982754,Private Citizens & Property
1972,9,27,54.597269,-5.930109,Private Citizens & Property
1972,9,28,54.597269,-5.930109,Private Citizens & Property
1972,9,29,54.597269,-5.930109,Military
1972,9,30,54.597269,-5.930109,Military
1972,9,30,54.597269,-5.930109,Private Citizens & Property
1972,9,30,54.597269,-5.930109,Military
1972,9,30,54.597269,-5.930109,Private Citizens & Property
1972,10,2,54.597269,-5.930109,Military
1972,10,2,54.597269,-5.930109,Private Citizens & Property
1972,10,2,54.597269,-5.930109,Terrorists/Non-State Militia
1972,10,4,54.597269,-5.930109,Journalists & Media
1972,10,4,54.597269,-5.930109,Private Citizens & Property
1972,10,4,54.42071,-6.443767,Private Citizens & Property
1972,10,5,54.597269,-5.930109,Business
1972,10,6,54.597269,-5.930109,Military
1972,10,7,54.597269,-5.930109,Private Citizens & Property
1972,10,10,54.18006,-6.3339300000000005,Military
1972,10,14,54.597269,-5.930109,Private Citizens & Property
1972,10,14,54.338570999999995,-6.658278999999999,Military
1972,10,14,54.597269,-5.930109,Private Citizens & Property
1972,10,21,54.597269,-5.930109,Police
1972,10,22,54.151612,-7.39232,Military
1972,10,24,54.597269,-5.930109,Military
1972,10,25,54.597269,-5.930109,Government (General)
1972,10,28,54.99451,-7.3199960000000015,Military
1972,10,29,54.597269,-5.930109,Private Citizens & Property
1972,10,31,54.597269,-5.930109,Private Citizens & Property
1972,10,31,54.597269,-5.930109,Military
1972,10,31,54.597269,-5.930109,Private Citizens & Property
1972,10,31,54.597269,-5.930109,Transportation
1972,11,0,51.500152,-0.126236,Business
1972,11,8,54.467967,-6.337967,Military
1972,11,10,54.597269,-5.930109,Military
1972,11,11,54.597269,-5.930109,Private Citizens & Property
1972,11,14,54.597269,-5.930109,Private Citizens & Property
1972,11,14,54.597269,-5.930109,Military
1972,11,15,54.597269,-5.930109,Private Citizens & Property
1972,11,16,54.34653100000001,-7.6404039999999975,Police
1972,11,20,54.131402,-6.5863869999999975,Military
1972,11,21,54.597269,-5.930109,Private Citizens & Property
1972,11,22,54.818982999999996,-6.663403,Military
1972,11,22,54.77811,-6.55922,Private Citizens & Property
1972,11,22,55.009510999999996,-6.504562,Private Citizens & Property
1972,11,27,54.597269,-5.930109,Private Citizens & Property
1972,11,28,54.482055,-8.088244,Military
1972,11,28,54.99451,-7.3199960000000015,Military
1972,11,30,54.597269,-5.930109,Private Citizens & Property
1972,12,2,54.597269,-5.930109,Private Citizens & Property
1972,12,2,54.597269,-5.930109,Private Citizens & Property
1972,12,3,54.597269,-5.930109,Private Citizens & Property
1972,12,5,54.467967,-6.337967,Military
1972,12,5,54.669045,-7.6816619999999975,Military
1972,12,6,54.597269,-5.930109,Private Citizens & Property
1972,12,7,54.597269,-5.930109,Terrorists/Non-State Militia
1972,12,7,54.597269,-5.930109,Private Citizens & Property
1972,12,8,54.597269,-5.930109,Military
1972,12,8,54.597269,-5.930109,Private Citizens & Property
1972,12,10,54.597269,-5.930109,Military
1972,12,13,54.597269,-5.930109,Police
1972,12,14,54.669045,-7.6816619999999975,Private Citizens & Property
1972,12,15,54.597269,-5.930109,Private Citizens & Property
1972,12,15,54.467967,-6.337967,Police
1972,12,15,54.34753900000001,-6.6561080000000015,Military
1972,12,16,54.190675,-7.562948,Terrorists/Non-State Militia
1972,12,16,54.597269,-5.930109,Private Citizens & Property
1972,12,18,54.338570999999995,-6.658278999999999,Government (General)
1972,12,20,54.597269,-5.930109,Private Citizens & Property
1972,12,20,54.910864000000004,-7.15523,Military
1972,12,20,54.483304000000004,-6.6408039999999975,Private Citizens & Property
1972,12,20,54.99451,-7.3199960000000015,Private Citizens & Property
1972,12,21,54.655480000000004,-5.674815,Private Citizens & Property
1972,12,27,54.823432,-7.4683740000000025,Military
1972,12,30,54.597269,-5.930109,Private Citizens & Property
1973,1,2,54.595455,-5.797763,Private Citizens & Property
1973,1,4,54.892986,-7.020811999999999,Military
1973,1,5,54.597269,-5.930109,Private Citizens & Property
1973,1,14,54.99451,-7.3199960000000015,Police
1973,1,14,54.542956000000004,-6.926292999999999,Police
1973,1,18,54.597269,-5.930109,Military
1973,1,29,54.597269,-5.930109,Private Citizens & Property
1973,1,29,54.597269,-5.930109,Private Citizens & Property
1973,1,30,54.597269,-5.930109,Terrorists/Non-State Militia
1973,1,31,54.597269,-5.930109,Private Citizens & Property
1973,1,31,54.597269,-5.930109,Private Citizens & Property
1973,2,1,54.597269,-5.930109,Private Citizens & Property
1973,2,1,54.823432,-7.4683740000000025,Military
1973,2,2,54.597269,-5.930109,Private Citizens & Property
1973,2,2,54.597269,-5.930109,Private Citizens & Property
1973,2,2,54.597269,-5.930109,Terrorists/Non-State Militia
1973,2,3,54.597269,-5.930109,Private Citizens & Property
1973,2,3,54.597269,-5.930109,Terrorists/Non-State Militia
1973,2,4,54.597269,-5.930109,Private Citizens & Property
1973,2,4,54.597269,-5.930109,Private Citizens & Property
1973,2,4,54.597269,-5.930109,Military
1973,2,5,54.467967,-6.337967,Military
1973,2,6,54.597269,-5.930109,Military
1973,2,7,54.597269,-5.930109,Private Citizens & Property
1973,2,7,54.597269,-5.930109,Terrorists/Non-State Militia
1973,2,8,54.502852000000004,-6.769568,Police
1973,2,10,54.371772,-5.555976,Terrorists/Non-State Militia
1973,2,14,54.597269,-5.930109,Military
1973,2,17,54.597269,-5.930109,Private Citizens & Property
1973,2,18,54.597269,-5.930109,Private Citizens & Property
1973,2,19,54.625868999999994,-5.982754,Private Citizens & Property
1973,2,20,51.500152,-0.126236,Government (General)
1973,2,20,54.597269,-5.930109,Military
1973,2,20,54.597269,-5.930109,Military
1973,2,21,54.597269,-5.930109,Military
1973,2,25,54.99451,-7.3199960000000015,Private Citizens & Property
1973,2,27,54.479875,-6.228448,Police
1973,2,28,54.597269,-5.930109,Military
1973,3,1,54.597269,-5.930109,Private Citizens & Property
1973,3,1,54.597269,-5.930109,Private Citizens & Property
1973,3,2,54.597269,-5.930109,Private Citizens & Property
1973,3,2,54.625868999999994,-5.982754,Private Citizens & Property
1973,3,3,54.99451,-7.3199960000000015,Military
1973,3,4,54.597269,-5.930109,Military
1973,3,6,54.597269,-5.930109,Military
1973,3,6,54.081638,-6.448779,Military
1973,3,8,51.500152,-0.126236,Government (General)
1973,3,8,54.597269,-5.930109,Private Citizens & Property
1973,3,8,54.597269,-5.930109,Military
1973,3,10,54.597269,-5.930109,Terrorists/Non-State Militia
1973,3,13,54.077313000000004,-6.6087869999999995,Military
1973,3,15,54.684823,-5.965868,Private Citizens & Property
1973,3,16,54.597269,-5.930109,Military
1973,3,16,54.597269,-5.930109,Private Citizens & Property
1973,3,17,54.502852000000004,-6.769568,Military
1973,3,19,54.597269,-5.930109,Private Citizens & Property
1973,3,20,54.597269,-5.930109,Private Citizens & Property
1973,3,23,54.597269,-5.930109,Military
1973,3,23,54.597269,-5.930109,Private Citizens & Property
1973,3,27,54.462881,-7.028646000000001,Military
1973,3,29,54.597269,-5.930109,Military
1973,4,3,54.456438,-5.448951,Private Citizens & Property
1973,4,7,54.192933999999994,-6.576051,Military
1973,4,11,54.99451,-7.3199960000000015,Military
1973,4,14,54.597269,-5.930109,Terrorists/Non-State Militia
1973,4,15,54.597269,-5.930109,Private Citizens & Property
1973,4,22,54.597269,-5.930109,Terrorists/Non-State Militia
1973,4,27,54.99451,-7.3199960000000015,Military
1973,4,28,54.99451,-7.3199960000000015,Military
1973,4,29,54.597269,-5.930109,Military
1973,5,2,54.684823,-5.965868,Private Citizens & Property
1973,5,2,54.99451,-7.3199960000000015,Military
1973,5,4,54.536706,-6.70361,Police
1973,5,5,54.077313000000004,-6.6087869999999995,Military
1973,5,10,54.414416,-6.976641000000001,Military
1973,5,11,54.597269,-5.930109,Private Citizens & Property
1973,5,13,54.597269,-5.930109,Military
1973,5,14,54.42071,-6.443767,Private Citizens & Property
1973,5,17,54.597269,-5.930109,Private Citizens & Property
1973,5,17,54.597269,-5.930109,Private Citizens & Property
1973,5,17,54.60030500000001,-7.298402,Military
1973,5,18,54.597269,-5.930109,Military
1973,5,19,54.597269,-5.930109,Private Citizens & Property
1973,5,20,51.500152,-0.126236,Government (Diplomatic)
1973,5,24,54.06149,-6.644365,Military
1973,5,25,54.597269,-5.930109,Private Citizens & Property
1973,5,26,54.597269,-5.930109,Private Citizens & Property
1973,5,27,54.597269,-5.930109,Private Citizens & Property
1973,5,31,54.597269,-5.930109,Private Citizens & Property
1973,5,31,54.597269,-5.930109,Private Citizens & Property
1973,6,2,54.597269,-5.930109,Private Citizens & Property
1973,6,3,54.597269,-5.930109,Private Citizens & Property
1973,6,5,54.34653100000001,-7.6404039999999975,Police
1973,6,5,54.409928,-7.172561999999999,Private Citizens & Property
1973,6,10,54.597269,-5.930109,Private Citizens & Property
1973,6,10,54.597269,-5.930109,Private Citizens & Property
1973,6,12,55.129344999999994,-6.663439,Private Citizens & Property
1973,6,15,54.597269,-5.930109,Terrorists/Non-State Militia
1973,6,16,54.597269,-5.930109,Private Citizens & Property
1973,6,17,54.671804,-5.957180999999999,Private Citizens & Property
1973,6,21,54.99451,-7.3199960000000015,Military
1973,6,21,54.823432,-7.4683740000000025,Military
1973,6,21,54.597269,-5.930109,Private Citizens & Property
1973,6,25,54.597269,-5.930109,Private Citizens & Property
1973,6,25,54.60030500000001,-7.298402,Terrorists/Non-State Militia
1973,6,26,54.713381999999996,-6.216761,Private Citizens & Property
1973,6,26,54.99451,-7.3199960000000015,Private Citizens & Property
1973,6,29,54.597269,-5.930109,Private Citizens & Property
1973,7,1,54.597269,-5.930109,Military
1973,7,4,54.597269,-5.930109,Private Citizens & Property
1973,7,5,54.597269,-5.930109,Private Citizens & Property
1973,7,6,54.597269,-5.930109,Terrorists/Non-State Militia
1973,7,12,54.192933999999994,-6.576051,Military
1973,7,12,54.597269,-5.930109,Private Citizens & Property
1973,7,17,54.597269,-5.930109,Military
1973,7,17,54.620693,-6.211765,Private Citizens & Property
1973,7,18,54.409928,-7.172561999999999,Military
1973,7,20,54.34753900000001,-6.6561080000000015,Military
1973,7,20,54.122471999999995,-6.388859,Military
1973,7,21,54.208418,-5.891744999999999,Terrorists/Non-State Militia
1973,7,22,54.597269,-5.930109,Private Citizens & Property
1973,8,5,54.446614000000004,-6.6907520000000025,Private Citizens & Property
1973,8,9,54.70333,-6.095585,Private Citizens & Property
1973,8,10,54.597269,-5.930109,Private Citizens & Property
1973,8,11,54.72,-7.613401,Terrorists/Non-State Militia
1973,8,11,54.597269,-5.930109,Private Citizens & Property
1973,8,15,54.34753900000001,-6.6561080000000015,Police
1973,8,15,54.597269,-5.930109,Private Citizens & Property
1973,8,18,51.500152,-0.126236,Business
1973,8,18,51.500152,-0.126236,Government (General)
1973,8,18,51.500152,-0.126236,Government (General)
1973,8,18,51.500152,-0.126236,Business
1973,8,18,54.42071,-6.443767,Private Citizens & Property
1973,8,20,54.597269,-5.930109,Private Citizens & Property
1973,8,23,54.19404,-6.144144,Private Citizens & Property
1973,8,23,54.34753900000001,-6.6561080000000015,Private Citizens & Property
1973,8,24,54.99451,-7.3199960000000015,Private Citizens & Property
1973,8,25,54.597269,-5.930109,Private Citizens & Property
1973,8,26,54.597269,-5.930109,Private Citizens & Property
1973,8,28,54.34753900000001,-6.6561080000000015,Military
1973,8,30,54.547617,-7.81769,Military
1973,8,30,54.597269,-5.930109,Military
1973,9,5,54.296399,-7.871465,Private Citizens & Property
1973,9,7,54.296399,-7.871465,Military
1973,9,8,51.500152,-0.126236,Transportation
1973,9,15,54.863117,-6.2783430000000005,Private Citizens & Property
1973,9,16,54.510893,-6.042726,Terrorists/Non-State Militia
1973,9,22,54.99451,-7.3199960000000015,Private Citizens & Property
1973,9,25,52.482960999999996,-1.8935919999999997,Military
1973,9,25,54.67325200000001,-7.627484,Terrorists/Non-State Militia
1973,10,1,54.57634,-5.917178,Private Citizens & Property
1973,10,3,54.99451,-7.3199960000000015,Military
1973,10,3,54.467967,-6.337967,Military
1973,10,12,54.184008,-7.3602089999999984,Private Citizens & Property
1973,10,16,54.597269,-5.930109,Police
1973,10,22,54.597269,-5.930109,Business
1973,10,28,54.34753900000001,-6.6561080000000015,Military
1973,10,29,54.351036,-6.26702,Private Citizens & Property
1973,10,29,54.414416,-6.976641000000001,Private Citizens & Property
1973,11,1,54.597269,-5.930109,Private Citizens & Property
1973,11,1,54.597269,-5.930109,Business
1973,11,6,54.192933999999994,-6.576051,Military
1973,11,8,54.597269,-5.930109,Private Citizens & Property
1973,11,13,54.597269,-5.930109,Private Citizens & Property
1973,11,14,54.597269,-5.930109,Military
